Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,PSH Flag Count,ACK Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Subflow Fwd Bytes,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Total TCP Flow Time,Label
100.64.0.2-10.16.0.5-39486-8080-6,100.64.0.2,39486,10.16.0.5,8080,6,18:16.2,344,5,5,107,137,107,21.4,47.85185472,137,27.4,61.26826258,709302.3256,29069.76744,38.22222222,35.56957189,123,5,315,78.75,36.28015987,123,36,314,78.5,52.61495351,154,33,1,1,168,168,14534.88372,14534.88372,137,24.4,51.92344793,2696.044444,2,2,2,9,1,24.4,21.4,27.4,10,13,65280,505,1,32,344,0
100.64.0.2-10.16.0.15-34092-1880-6,100.64.0.2,34092,10.16.0.15,1880,6,04:51.0,386,6,4,394,2240,394,65.66666667,160.8498264,2240,560,1120,6823834.197,25906.73575,42.88888889,94.04712176,292,3,386,77.2,125.7545228,301,9,373,124.3333333,147.0929411,292,17,1,1,200,136,15544.04145,10362.6943,2240,263.4,705.4581175,497671.1556,2,2,2,9,0.666666667,263.4,65.66666667,560,39,224,64240,503,1,32,386,1
100.64.0.2-10.16.0.18-57432-3000-6,100.64.0.2,57432,10.16.0.18,3000,6,20:44.7,619,5,5,542,180,542,108.4,242.3897688,180,36,80.49844719,1166397.415,16155.08885,68.77777778,165.3638245,509,3,607,151.75,246.9363953,521,12,607,151.75,238.4357006,509,21,1,1,168,168,8077.544426,8077.544426,542,72.2,174.4946991,30448.4,2,2,2,9,1,72.2,108.4,36,54,18,64240,502,1,32,619,0
10.16.0.6-144.122.71.18-60540-6642-6,10.16.0.6,60540,144.122.71.18,6642,6,58:10.4,1377,10,9,474,16238,207,47.4,75.95934585,6740,1804.222222,2858.650284,12136528.69,13798.11184,76.5,147.6487286,597,3,1377,153,200.5243127,624,7,1286,160.75,216.4187409,597,7,4,6,328,296,7262.164125,6535.947712,6740,879.5789474,2108.802776,4447049.146,0,2,10,18,0.9,879.5789474,47.4,1804.222222,24,854,65280,503,4,32,1377,1
100.64.0.2-10.16.0.18-52774-3000-6,100.64.0.2,52774,10.16.0.18,3000,6,36:39.0,819,5,5,467,165,467,93.4,208.8487491,165,33,73.79024326,771672.7717,12210.01221,91,223.0274647,685,4,811,202.75,334.3923594,704,20,792,198,325.0199994,685,18,1,1,168,168,6105.006105,6105.006105,467,63.2,151.0598116,22819.06667,2,2,2,9,1,63.2,93.4,33,46,16,64240,502,1,32,819,0
100.64.0.2-10.16.0.15-47000-1880-6,100.64.0.2,47000,10.16.0.15,1880,6,04:36.4,342,6,4,392,481,392,65.33333333,160.0333299,481,120.25,240.5,2552631.579,29239.76608,38,79.04903541,246,4,342,68.4,106.2605289,256,9,328,109.3333333,120.7656132,246,17,1,1,200,136,17543.85965,11695.90643,481,87.3,185.2362156,34312.45556,2,2,2,9,0.666666667,87.3,65.33333333,120.25,39,48,64240,503,1,32,342,1
10.16.0.6-144.122.71.18-43732-6642-6,10.16.0.6,43732,144.122.71.18,6642,6,29:26.2,840,10,9,474,16238,207,47.4,75.95934585,6740,1804.222222,2858.650284,19895238.1,22619.04762,46.66666667,73.92683187,324,3,840,93.33333333,103.278749,324,8,749,93.625,126.4040432,392,7,4,6,328,296,11904.7619,10714.28571,6740,879.5789474,2108.802776,4447049.146,0,2,10,18,0.9,879.5789474,47.4,1804.222222,24,854,65280,503,4,32,840,0
100.64.0.2-10.16.0.5-37090-8181-6,100.64.0.2,37090,10.16.0.5,8181,6,04:57.5,250,5,5,106,137,106,21.2,47.40464112,137,27.4,61.26826258,972000,40000,27.77777778,23.33868986,70,7,233,58.25,20.43485584,76,30,228,57,28.36664708,86,25,1,1,168,168,20000,20000,137,24.3,51.74735635,2677.788889,2,2,2,9,1,24.3,21.2,27.4,10,13,65280,505,1,32,250,1
100.64.0.2-10.16.0.4-44180-8080-6,100.64.0.2,44180,10.16.0.4,8080,6,05:11.0,276,5,5,107,137,107,21.4,47.85185472,137,27.4,61.26826258,884057.971,36231.88406,30.66666667,37.63641853,123,6,262,65.5,43.43193909,123,29,248,62,57.05552851,145,24,1,1,168,168,18115.94203,18115.94203,137,24.4,51.92344793,2696.044444,2,2,2,9,1,24.4,21.4,27.4,10,13,65280,505,1,32,276,1
10.16.0.6-144.122.71.18-47196-6642-6,10.16.0.6,47196,144.122.71.18,6642,6,23:11.3,911,12,10,528,21205,261,44,83.35902634,6740,2120.5,2951.481144,23856201.98,24149.2865,43.38095238,70.43186508,298,3,911,82.81818182,90.86893659,298,7,886,98.44444444,114.3624841,363,7,4,6,392,328,13172.33809,10976.94841,6740,987.8636364,2203.858074,4856990.409,2,2,10,21,0.833333333,987.8636364,44,2120.5,24,963,65280,503,4,32,911,0
100.64.0.2-10.16.0.18-34290-3000-6,100.64.0.2,34290,10.16.0.18,3000,6,16:04.0,1047,8,8,443,25370,443,55.375,156.624152,7794,3171.25,3544.094474,24654250.24,15281.7574,69.8,200.8166185,790,2,1030,147.1428571,294.4432195,804,6,1028,146.8571429,285.6853914,790,6,1,4,264,264,7640.878701,7640.878701,7794,1613.3125,2908.959326,8462044.362,2,2,5,15,1,1613.3125,55.375,3171.25,27,1585,64240,503,1,32,1047,0
10.16.0.2-144.122.71.18-60866-6642-6,10.16.0.2,60866,144.122.71.18,6642,6,40:36.5,7078,15,9,528,20991,261,35.2,76.10256237,6740,2332.333333,3003.363822,3040265.612,3390.788358,307.7391304,291.4631144,1161,4,7078,505.5714286,311.5061956,1258,7,6459,807.375,621.0992416,1679,8,4,6,488,296,2119.242724,1271.545634,6740,896.625,2105.115484,4431511.201,2,2,10,23,0.6,896.625,35.2,2332.333333,22,874,65280,503,4,32,7078,1
10.16.0.2-144.122.71.18-35766-6642-6,10.16.0.2,35766,144.122.71.18,6642,6,42:52.3,7730,13,8,474,16238,207,36.46153846,68.98866499,6740,2029.75,2969.197378,2161966.365,2716.688228,386.5,451.249785,1663,4,7730,644.1666667,473.3220763,1663,258,6850,978.5714286,1029.831517,3000,9,4,6,424,264,1681.759379,1034.928849,6740,795.8095238,2018.00445,4072341.962,0,2,10,20,0.615384615,795.8095238,36.46153846,2029.75,22,773,65280,504,4,32,7730,0
100.64.0.2-10.16.0.15-58482-1880-6,100.64.0.2,58482,10.16.0.15,1880,6,06:31.8,610,6,5,312,441,312,52,127.3734666,441,88.2,197.2211956,1234426.23,18032.78689,61,152.1702263,492,4,610,122,214.3396837,504,13,590,147.5,230.6375222,492,13,1,1,200,168,9836.065574,8196.721311,441,68.45454545,155.0092666,24027.87273,2,2,2,10,0.833333333,68.45454545,52,88.2,28,40,64240,504,1,32,610,1
100.64.0.2-10.16.0.18-48428-3000-6,100.64.0.2,48428,10.16.0.18,3000,6,15:16.0,614,5,5,447,1656,447,89.4,199.9044772,1656,331.2,740.5857141,3425081.433,16286.64495,68.22222222,163.039702,502,4,604,151,243.5638178,515,12,601,150.25,234.8579358,502,21,1,1,168,168,8143.322476,8143.322476,1656,210.3,527.0340596,277764.9,2,2,2,9,1,210.3,89.4,331.2,44,165,64240,503,1,32,614,0
100.64.0.2-10.16.0.15-58628-1880-6,100.64.0.2,58628,10.16.0.15,1880,6,06:32.3,483,6,4,348,481,348,58,142.0704051,481,120.25,240.5,1716356.108,20703.93375,53.66666667,92.99731179,292,6,483,96.6,120.4462536,306,21,460,153.3333333,129.3264603,292,36,1,1,200,136,12422.36025,8281.573499,481,82.9,177.557784,31526.76667,2,2,2,9,0.666666667,82.9,58,120.25,34,48,64240,503,1,32,483,1
100.64.0.2-10.16.0.5-41892-8181-6,100.64.0.2,41892,10.16.0.5,8181,6,49:17.5,372,5,5,106,137,106,21.2,47.40464112,137,27.4,61.26826258,653225.8065,26881.72043,41.33333333,40.62634613,122,7,355,88.75,35.93860506,122,45,334,83.5,50.9738495,147,23,1,1,168,168,13440.86022,13440.86022,137,24.3,51.74735635,2677.788889,2,2,2,9,1,24.3,21.2,27.4,10,13,65280,505,1,32,372,0
10.16.0.6-144.122.71.18-53988-6642-6,10.16.0.6,53988,144.122.71.18,6642,6,51:38.4,1097,12,10,528,21217,261,44,83.35902634,6740,2121.7,2952.952084,19822242.48,20054.69462,52.23809524,82.73929221,323,3,1097,99.72727273,106.8167505,323,8,1067,118.5555556,131.0888164,398,7,4,6,392,328,10938.92434,9115.770283,6740,988.4090909,2204.996008,4862007.396,2,2,10,21,0.833333333,988.4090909,44,2121.7,24,964,65280,503,4,32,1097,1
